シナリオ1

境界ID, 57
----------------
面積, 0.185116, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 56
----------------
面積, 32.7071, cm^2
サマリー FX, -0.000870434, Newton
サマリー FY, 9.02851e-05, Newton
サマリー FZ, 0.131236, Newton
力の中心 X-Axis (Y-Z), 4.18059, -0.1, cm
力の中心 Y-Axis (X-Z), 21.0238, -0.1, cm
力の中心 Z-Axis (X-Y), 20.0814, 4.09248, cm
サマリー MX, 0.00537091, N-m
サマリー MY, -0.0263533, N-m
サマリー MZ, 5.53706e-05, N-m

境界ID, 55
----------------
面積, 1.98856, cm^2
サマリー FX, 0.00639877, Newton
サマリー FY, 2.22141e-05, Newton
サマリー FZ, 9.15821e-05, Newton
力の中心 X-Axis (Y-Z), 3.89204, -0.000656888, cm
力の中心 Y-Axis (X-Z), 18.0438, -0.000630892, cm
力の中心 Z-Axis (X-Y), 18.0576, 4.65946, cm
サマリー MX, 4.26737e-06, N-m
サマリー MY, -1.65796e-05, N-m
サマリー MZ, -0.000245035, N-m

境界ID, 54
----------------
面積, 32.7223, cm^2
サマリー FX, -0.00113741, Newton
サマリー FY, 9.6369e-05, Newton
サマリー FZ, -0.177331, Newton
力の中心 X-Axis (Y-Z), 4.28783, 0.1, cm
力の中心 Y-Axis (X-Z), 21.1326, 0.1, cm
力の中心 Z-Axis (X-Y), 20.5783, 4.13685, cm
サマリー MX, -0.00733602, N-m
サマリー MY, 0.0364907, N-m
サマリー MZ, 6.91353e-05, N-m

境界ID, 53
----------------
面積, 0.801054, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 52
----------------
面積, 1.4203, cm^2
サマリー FX, -4.44001e-05, Newton
サマリー FY, -0.00506471, Newton
サマリー FZ, -0.000275621, Newton
力の中心 X-Axis (Y-Z), 7.45604, 0.00276525, cm
力の中心 Y-Axis (X-Z), 20.3417, 0.0024574, cm
力の中心 Z-Axis (X-Y), 21.6559, 7.44088, cm
サマリー MX, -2.03842e-05, N-m
サマリー MY, 5.96869e-05, N-m
サマリー MZ, -0.00102694, N-m

境界ID, 51
----------------
面積, 2.05925, cm^2
サマリー FX, -0.0245132, Newton
サマリー FY, 4.71449e-05, Newton
サマリー FZ, -0.00133525, Newton
力の中心 X-Axis (Y-Z), 4.11135, 0.00251209, cm
力の中心 Y-Axis (X-Z), 22.9573, 0.00618292, cm
力の中心 Z-Axis (X-Y), 22.9408, 4.11589, cm
サマリー MX, -5.49604e-05, N-m
サマリー MY, 0.000305701, N-m
サマリー MZ, 0.00101864, N-m

境界ID, 50
----------------
面積, 0.0131628, cm^2
サマリー FX, 3.32946e-05, Newton
サマリー FY, -3.38239e-05, Newton
サマリー FZ, -3.37869e-05, Newton
力の中心 X-Axis (Y-Z), 7.44078, 0.0409077, cm
力の中心 Y-Axis (X-Z), 18.0605, 0.0407115, cm
力の中心 Z-Axis (X-Y), 18.0605, 7.44029, cm
サマリー MX, -2.50007e-06, N-m
サマリー MY, 6.11568e-06, N-m
サマリー MZ, -8.58614e-06, N-m

境界ID, 49
----------------
面積, 0.0131628, cm^2
サマリー FX, 3.36654e-05, Newton
サマリー FY, -3.41708e-05, Newton
サマリー FZ, 3.41347e-05, Newton
力の中心 X-Axis (Y-Z), 7.44096, -0.0407119, cm
力の中心 Y-Axis (X-Z), 18.0605, -0.0401984, cm
力の中心 Z-Axis (X-Y), 18.0605, 7.44077, cm
サマリー MX, 2.52615e-06, N-m
サマリー MY, -6.17859e-06, N-m
サマリー MZ, -8.67645e-06, N-m

境界ID, 48
----------------
面積, 0.0130222, cm^2
サマリー FX, -0.000125742, Newton
サマリー FY, -0.000111024, Newton
サマリー FZ, -0.000117312, Newton
力の中心 X-Axis (Y-Z), 7.43712, 0.0391307, cm
力の中心 Y-Axis (X-Z), 22.9441, 0.0411071, cm
力の中心 Z-Axis (X-Y), 22.943, 7.43803, cm
サマリー MX, -8.68003e-06, N-m
サマリー MY, 2.68656e-05, N-m
サマリー MZ, -1.61219e-05, N-m

境界ID, 47
----------------
面積, 0.0130222, cm^2
サマリー FX, -0.000111411, Newton
サマリー FY, -9.65195e-05, Newton
サマリー FZ, 9.77758e-05, Newton
力の中心 X-Axis (Y-Z), 7.43703, -0.0374906, cm
力の中心 Y-Axis (X-Z), 22.9451, -0.0395632, cm
力の中心 Z-Axis (X-Y), 22.9449, 7.43881, cm
サマリー MX, 7.23517e-06, N-m
サマリー MY, -2.23927e-05, N-m
サマリー MZ, -1.38609e-05, N-m

境界ID, 46
----------------
面積, 1414.55, cm^2
サマリー FX, -2.70844, Newton
サマリー FY, 0.00258681, Newton
サマリー FZ, -5.19029, Newton
力の中心 X-Axis (Y-Z), 24.5466, -3.07984, cm
力の中心 Y-Axis (X-Z), -1.35121, 1.83331, cm
力の中心 Z-Axis (X-Y), 11.1706, 24.1181, cm
サマリー MX, -1.25185, N-m
サマリー MY, 0.663204, N-m
サマリー MZ, 0.664794, N-m

境界ID, 45
----------------
面積, 23.8469, cm^2
サマリー FX, -0.162088, Newton
サマリー FY, 1.7942e-05, Newton
サマリー FZ, 0.0591037, Newton
力の中心 X-Axis (Y-Z), 26.1344, -5.07963, cm
力の中心 Y-Axis (X-Z), 14.0971, -5.12549, cm
力の中心 Z-Axis (X-Y), 14.1138, 26.1427, cm
サマリー MX, 0.0154522, N-m
サマリー MY, -0.000108269, N-m
サマリー MZ, 0.0423633, N-m

境界ID, 44
----------------
面積, 4.54639, cm^2
サマリー FX, -0.0273704, Newton
サマリー FY, 3.10351e-07, Newton
サマリー FZ, -0.00292027, Newton
力の中心 X-Axis (Y-Z), 26.0664, -5.29937, cm
力の中心 Y-Axis (X-Z), 14.0068, -5.25158, cm
力の中心 Z-Axis (X-Y), 14.0118, 26.1146, cm
サマリー MX, -0.000762599, N-m
サマリー MY, 0.00185965, N-m
サマリー MZ, 0.00713454, N-m

境界ID, 43
----------------
面積, 1492.53, cm^2
サマリー FX, -4.32775, Newton
サマリー FY, -0.00174084, Newton
サマリー FZ, -10.4976, Newton
力の中心 X-Axis (Y-Z), 25.7617, -1.11737, cm
力の中心 Y-Axis (X-Z), -1.43508, 1.48095, cm
力の中心 Z-Axis (X-Y), 3.00071, 25.4571, cm
サマリー MX, -2.67236, N-m
サマリー MY, 0.36336, N-m
サマリー MZ, 1.11492, N-m

境界ID, 42
----------------
面積, 5.44107, cm^2
サマリー FX, -4.39772e-05, Newton
サマリー FY, 0.0327472, Newton
サマリー FZ, 2.33881e-05, Newton
力の中心 X-Axis (Y-Z), 50, -0.320187, cm
力の中心 Y-Axis (X-Z), 1.63521, 0.315933, cm
力の中心 Z-Axis (X-Y), 1.89064, 50, cm
サマリー MX, -9.17651e-05, N-m
サマリー MY, -3.01374e-07, N-m
サマリー MZ, 0.000557474, N-m

境界ID, 41
----------------
面積, 92.6203, cm^2
サマリー FX, -0.0644419, Newton
サマリー FY, 0.000225699, Newton
サマリー FZ, 0.389065, Newton
力の中心 X-Axis (Y-Z), 25.0371, 5.14305, cm
力の中心 Y-Axis (X-Z), -13.5228, 5.26094, cm
力の中心 Z-Axis (X-Y), -13.3036, 25.501, cm
サマリー MX, 0.0992038, N-m
サマリー MY, 0.0484453, N-m
サマリー MZ, 0.0161039, N-m

境界ID, 40
----------------
面積, 86.7691, cm^2
サマリー FX, -0.00572939, Newton
サマリー FY, 0.000900412, Newton
サマリー FZ, -0.0830257, Newton
力の中心 X-Axis (Y-Z), 0.00375964, 6.11378, cm
力の中心 Y-Axis (X-Z), 9.60648, 6.60711, cm
力の中心 Z-Axis (X-Y), 15.3151, -0.00119158, cm
サマリー MX, -5.85019e-05, N-m
サマリー MY, 0.0123652, N-m
サマリー MZ, 8.67133e-05, N-m

境界ID, 39
----------------
面積, 136.26, cm^2
サマリー FX, -0.00661739, Newton
サマリー FY, 0.779189, Newton
サマリー FZ, 0.00554554, Newton
力の中心 X-Axis (Y-Z), 0.522846, -0.222057, cm
力の中心 Y-Axis (X-Z), -6.39535, -0.259078, cm
力の中心 Z-Axis (X-Y), -14.6303, 0.466861, cm
サマリー MX, 0.0020446, N-m
サマリー MY, 0.000826024, N-m
サマリー MZ, -0.0497973, N-m

境界ID, 38
----------------
面積, 212.432, cm^2
サマリー FX, -0.0176219, Newton
サマリー FY, 0.0029568, Newton
サマリー FZ, 0.0226513, Newton
力の中心 X-Axis (Y-Z), 0.00109452, 0.141272, cm
力の中心 Y-Axis (X-Z), -22.1359, 0.648358, cm
力の中心 Z-Axis (X-Y), -22.2367, 0.00113547, cm
サマリー MX, -1.89135e-05, N-m
サマリー MY, 0.005012, N-m
サマリー MZ, -0.000654323, N-m

境界ID, 37
----------------
面積, 136.255, cm^2
サマリー FX, -0.00667647, Newton
サマリー FY, -0.772384, Newton
サマリー FZ, 0.00550738, Newton
力の中心 X-Axis (Y-Z), -0.523842, -0.199861, cm
力の中心 Y-Axis (X-Z), -6.35337, -0.252951, cm
力の中心 Z-Axis (X-Y), -14.5028, -0.467763, cm
サマリー MX, -0.00197951, N-m
サマリー MY, 0.000812071, N-m
サマリー MZ, 0.0490374, N-m

境界ID, 36
----------------
面積, 121.429, cm^2
サマリー FX, 0.000142749, Newton
サマリー FY, 0.679251, Newton
サマリー FZ, -0.01395, Newton
力の中心 X-Axis (Y-Z), -1.12314, -20.0194, cm
力の中心 Y-Axis (X-Z), 11.1829, 0.707043, cm
力の中心 Z-Axis (X-Y), 10.7099, -0.597008, cm
サマリー MX, -0.00471931, N-m
サマリー MY, 0.00146545, N-m
サマリー MZ, 0.0759618, N-m

境界ID, 35
----------------
面積, 120.378, cm^2
サマリー FX, -0.182355, Newton
サマリー FY, 0.00138109, Newton
サマリー FZ, -0.00559673, Newton
力の中心 X-Axis (Y-Z), -0.000401438, 1.23448, cm
力の中心 Y-Axis (X-Z), 28.9679, 27.1989, cm
力の中心 Z-Axis (X-Y), 23.4355, -0.00751356, cm
サマリー MX, -0.000375221, N-m
サマリー MY, -0.000939513, N-m
サマリー MZ, 0.000399341, N-m

境界ID, 34
----------------
面積, 121.43, cm^2
サマリー FX, 0.000107514, Newton
サマリー FY, -0.675572, Newton
サマリー FZ, -0.0138716, Newton
力の中心 X-Axis (Y-Z), 1.25148, -25.6333, cm
力の中心 Y-Axis (X-Z), 11.2154, 0.705075, cm
力の中心 Z-Axis (X-Y), 10.7668, 0.597181, cm
サマリー MX, 0.00468045, N-m
サマリー MY, 0.00146596, N-m
サマリー MZ, -0.0757692, N-m

境界ID, 33
----------------
面積, 190.633, cm^2
サマリー FX, -0.010118, Newton
サマリー FY, 0.00267926, Newton
サマリー FZ, -0.240728, Newton
力の中心 X-Axis (Y-Z), -3.76847e-07, -4.55295, cm
力の中心 Y-Axis (X-Z), -24.2357, -3.18543, cm
力の中心 Z-Axis (X-Y), -1.97282, 0.00141534, cm
サマリー MX, 8.19388e-05, N-m
サマリー MY, -0.00428846, N-m
サマリー MZ, -0.000649337, N-m

境界ID, 32
----------------
面積, 5.62587, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
