シナリオ1

境界ID, 49
----------------
面積, 31.1519, cm^2
サマリー FX, -2.63657e-07, Newton
サマリー FY, 5.70299e-06, Newton
サマリー FZ, -0.0284625, Newton
力の中心 X-Axis (Y-Z), -79.6679, -0.2, cm
力の中心 Y-Axis (X-Z), 16.9225, -0.2, cm
力の中心 Z-Axis (X-Y), 16.931, 4.00779, cm
サマリー MX, -0.0011407, N-m
サマリー MY, 0.00481899, N-m
サマリー MZ, 7.55038e-07, N-m

境界ID, 48
----------------
面積, 3.99364, cm^2
サマリー FX, -0.00104314, Newton
サマリー FY, 6.55871e-06, Newton
サマリー FZ, -0.000743503, Newton
力の中心 X-Axis (Y-Z), 3.66164, -0.0690752, cm
力の中心 Y-Axis (X-Z), 14.5872, -0.0315451, cm
力の中心 Z-Axis (X-Y), 14.6145, 4.27304, cm
サマリー MX, -3.17681e-05, N-m
サマリー MY, 0.00010938, N-m
サマリー MZ, 3.91529e-05, N-m

境界ID, 47
----------------
面積, 31.231, cm^2
サマリー FX, 0.000112984, Newton
サマリー FY, 3.09272e-06, Newton
サマリー FZ, 0.00838807, Newton
力の中心 X-Axis (Y-Z), 4.25687, 0.2, cm
力の中心 Y-Axis (X-Z), 16.0803, 0.2, cm
力の中心 Z-Axis (X-Y), 17.8666, 3.30234, cm
サマリー MX, 0.000276996, N-m
サマリー MY, -0.00149844, N-m
サマリー MZ, -4.31227e-06, N-m

境界ID, 46
----------------
面積, 2.86446, cm^2
サマリー FX, 9.60092e-06, Newton
サマリー FY, 0.00150268, Newton
サマリー FZ, -0.000369037, Newton
力の中心 X-Axis (Y-Z), 7.41265, 0.0515082, cm
力の中心 Y-Axis (X-Z), 17.009, -0.0223048, cm
力の中心 Z-Axis (X-Y), 16.6516, 7.38343, cm
サマリー MX, -2.69125e-05, N-m
サマリー MY, 6.14557e-05, N-m
サマリー MZ, 0.000254879, N-m

境界ID, 45
----------------
面積, 4.18678, cm^2
サマリー FX, 0.0023942, Newton
サマリー FY, 1.08697e-05, Newton
サマリー FZ, -7.14739e-05, Newton
力の中心 X-Axis (Y-Z), 3.92202, -0.00252416, cm
力の中心 Y-Axis (X-Z), 19.4112, -0.00521581, cm
力の中心 Z-Axis (X-Y), 19.3742, 5.47118, cm
サマリー MX, -3.9099e-06, N-m
サマリー MY, 1.37871e-05, N-m
サマリー MZ, -9.1791e-05, N-m

境界ID, 44
----------------
面積, 2.76562, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 43
----------------
面積, 1413.18, cm^2
サマリー FX, 0.893857, Newton
サマリー FY, 0.000196703, Newton
サマリー FZ, 2.69942, Newton
力の中心 X-Axis (Y-Z), 24.562, 2.08845, cm
力の中心 Y-Axis (X-Z), -3.42227, 2.27159, cm
力の中心 Z-Axis (X-Y), -4.37073, 24.45, cm
サマリー MX, 0.660004, N-m
サマリー MY, 0.136652, N-m
サマリー MZ, -0.219555, N-m

境界ID, 42
----------------
面積, 1.366, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 41
----------------
面積, 1490.77, cm^2
サマリー FX, 1.35359, Newton
サマリー FY, 0.00238312, Newton
サマリー FZ, 4.33043, Newton
力の中心 X-Axis (Y-Z), 24.0518, 1.01914, cm
力の中心 Y-Axis (X-Z), -0.29787, 1.04189, cm
力の中心 Z-Axis (X-Y), -3.31947, 24.1208, cm
サマリー MX, 1.04451, N-m
サマリー MY, 0.157542, N-m
サマリー MZ, -0.325569, N-m

境界ID, 40
----------------
面積, 1.41045, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 39
----------------
面積, 23.789, cm^2
サマリー FX, 0.0148054, Newton
サマリー FY, 1.93352e-06, Newton
サマリー FZ, -0.00544629, Newton
力の中心 X-Axis (Y-Z), 25.1866, -5.11387, cm
力の中心 Y-Axis (X-Z), 14.0976, -5.12421, cm
力の中心 Z-Axis (X-Y), 14.1012, 25.2044, cm
サマリー MX, -0.00137261, N-m
サマリー MY, 1.08629e-05, N-m
サマリー MZ, -0.00372872, N-m

境界ID, 38
----------------
面積, 5.46277, cm^2
サマリー FX, 1.45436e-05, Newton
サマリー FY, 0.00481586, Newton
サマリー FZ, -1.09579e-05, Newton
力の中心 X-Axis (Y-Z), 50, 2.0542, cm
力の中心 Y-Axis (X-Z), 0.955866, 0.633912, cm
力の中心 Z-Axis (X-Y), 0.54328, 50, cm
サマリー MX, -3.60072e-05, N-m
サマリー MY, 3.58287e-07, N-m
サマリー MZ, 3.87613e-05, N-m

境界ID, 37
----------------
面積, 90.8627, cm^2
サマリー FX, 0.0881358, Newton
サマリー FY, 4.90597e-06, Newton
サマリー FZ, 0.313228, Newton
力の中心 X-Axis (Y-Z), 26.1367, 5.20897, cm
力の中心 Y-Axis (X-Z), -15.5037, 5.6373, cm
力の中心 Z-Axis (X-Y), -12.85, 22.3353, cm
サマリー MX, 0.0699602, N-m
サマリー MY, 0.0448409, N-m
サマリー MZ, -0.0230365, N-m

境界ID, 36
----------------
面積, 4.53336, cm^2
サマリー FX, -0.00047285, Newton
サマリー FY, 2.20838e-06, Newton
サマリー FZ, -3.04093e-05, Newton
力の中心 X-Axis (Y-Z), 25.2618, -5.3207, cm
力の中心 Y-Axis (X-Z), 14.0118, -5.2996, cm
力の中心 Z-Axis (X-Y), 14.0152, 23.7766, cm
サマリー MX, -7.11328e-06, N-m
サマリー MY, 2.94208e-05, N-m
サマリー MZ, 0.00011976, N-m

境界ID, 35
----------------
面積, 127.852, cm^2
サマリー FX, 0.0111934, Newton
サマリー FY, 6.61047e-05, Newton
サマリー FZ, 0.000307261, Newton
力の中心 X-Axis (Y-Z), 0.000289638, 1.19554, cm
力の中心 Y-Axis (X-Z), 19.3092, -48.8842, cm
力の中心 Z-Axis (X-Y), 17.0867, -0.0101116, cm
サマリー MX, 3.22837e-05, N-m
サマリー MY, 8.1321e-05, N-m
サマリー MZ, 1.27318e-05, N-m

境界ID, 34
----------------
面積, 97.1148, cm^2
サマリー FX, 0.000856061, Newton
サマリー FY, 0.100275, Newton
サマリー FZ, 0.00570267, Newton
力の中心 X-Axis (Y-Z), 0.572978, 1.75993, cm
力の中心 Y-Axis (X-Z), 5.25568, 1.62501, cm
力の中心 Z-Axis (X-Y), 3.07719, 0.567362, cm
サマリー MX, -0.00159713, N-m
サマリー MY, -0.000160416, N-m
サマリー MZ, 0.00526525, N-m

境界ID, 33
----------------
面積, 103.063, cm^2
サマリー FX, 0.00365835, Newton
サマリー FY, 0.00191776, Newton
サマリー FZ, 0.0265335, Newton
力の中心 X-Axis (Y-Z), 0.00929814, 5.41047, cm
力の中心 Y-Axis (X-Z), -25.0794, 5.51996, cm
力の中心 Z-Axis (X-Y), 4.71937, 0.0113121, cm
サマリー MX, -0.000102858, N-m
サマリー MY, -0.00105428, N-m
サマリー MZ, -0.000481304, N-m

境界ID, 32
----------------
面積, 96.919, cm^2
サマリー FX, 0.000840305, Newton
サマリー FY, -0.101576, Newton
サマリー FZ, 0.00583311, Newton
力の中心 X-Axis (Y-Z), -0.571837, 1.77469, cm
力の中心 Y-Axis (X-Z), 5.15324, 1.6481, cm
力の中心 Z-Axis (X-Y), 2.96563, -0.566932, cm
